7,74.69
8,58.22
6,68.84
2,36.26
7,68.93
3,88.63
8,52.59
5,62.62
5,44.59
2,44.34
2,83.77
9,19.36
10,72.78
3,88.15
5,27.93
5,27.93
1,34.56
10,55.45
4,56.04
6,73.47
2,48.5
10,21.48
10,72.35
10,63.56
5,48.63
4,87.37
9,27.04
6,69.58
7,80.62
3,71.46
4,11.94
1,22.32
10,19.7
2,15.81
2,71.63
10,37.69
10,17.42
8,18.85
5,63.88
4,10.69
1,55.5
7,30.62
10,92.6
10,24.49
4,24.49
9,15.87
8,25.51
2,48.96
4,48.62
3,47.68
10,22.01
1,41.28
5,74.22
2,91.3
3,38.54
2,38.54
1,39.47
1,93.78
5,33.2
4,18.33
9,73.26
2,95.95
3,28.31
7,47.63
6,12.76
4,79.59
6,24.82
9,89.06
2,23.29
1,34.42
10,20.01
10,83.34
9,87.9
5,73.47
2,76.92
8,35.04
3,27.73
9,79.54
7,51.34
3,99.6
7,39.62
9,49.38
2,92.09
3,10.08
9,98.66
1,20.89
7,81.01
7,97.48
7,31.84
7,88.34
5,46.33
10,86.31
10,21.98
6,46.95
3,43.19
5,71.38
2,72.61
9,54.67
2,34.56
9,87.67
10,24.89
8,96.58
10,60.88
9,88.67
1,89.6
1,78.77
3,74.67
6,42.47
6,97.16
10,52.75
8,58.26
9,62.13
7,10.96
5,99.56
5,58.07
8,93.69
6,32.25
8,26.31
9,72.5
1,77.95
7,32.46
10,83.24
6,63.69
6,45.79
5,98.98
6,92.13
7,51.28
1,70.01
5,73.88
1,12.34
9,74.07
9,32.71
8,32.71
1,25.29
6,23.03
2,26.23
8,52.59
2,18.28
1,34.42
9,43.25
2,63.42
4,93.14
9,89.69
2,24.94
8,59.77
10,23.75
1,75.06
4,12.03
7,69.96
2,30.14
6,15.34
5,51.19
6,40.23
3,81.91
5,15.26
9,61.77
5,21.52
3,32.9
9,77.02
7,76.4
7,92.29
6,44.65
5,77.93
5,26.02
10,51.69
1,73.22
5,67.09
7,40.94
5,32.32
5,79.74
4,77.5
3,69.52
8,54.27
6,13.79
6,56.53
7,25.84
5,50.93
1,23.46
9,33.99
3,19.1
5,63.61
1,25
5,33.84
4,65.18
5,33.26
7,38.6
7,37.14
2,37.15
6,42.91
8,54.28
9,99.55
6,34.73
5,81.71
1,22.17
4,98.09
3,25.43
10,28.32
9,97.94
6,73.05
10,30.68
10,29.42
9,60.95
5,66.06
4,81.21
4,15.5
3,65.74
5,85.91
5,64.27
3,51.71
1,52.34
1,43.06
3,14.62
3,52.2
2,30.61
1,28.96
10,94.64
3,71.68
7,60.87
3,12.09
4,64.19
10,78.31
3,28.95
10,15.69
3,48.63
5,45.48
3,67.1
3,51.94
9,25.7
5,35.68
8,45.38
6,56
4,93.96
6,27.28
4,97.29
4,96.52
7,55.39
7,11.43
1,62.65
2,94.76
4,74.58
2,58.91
4,46.41
10,46.61
1,77.47
8,93.18
8,50.23
3,40.26
8,95.15
1,47.59
3,33.88
1,68.71
6,10.56
1,52.38
2,51.94
4,21.32
5,99.1
8,74.1
7,98.48
7,64.59
8,17.94
4,90.02
10,45.58
5,11.53
4,93.12
10,94.67
5,74.44
4,89.48
7,66.52
7,45.68
1,50.79
9,77.72
3,93.88
3,42.57
4,15.5
4,33.3
5,15.8
2,80.08
8,74.66
1,58.15
3,56.56
4,58.03
4,58.9
6,65.82
9,54.84
8,14.48
1,25.51
6,93.72
4,78.07
1,30.12
9,86.72
9,69.12
6,93.96
4,66.35
9,56.69
4,20.01
6,18.93
3,17.87
9,55.07
2,75.74
6,97.61
5,48.52
1,64.36
9,16.49
8,25.91
6,21.94
8,51.36
4,99.96
1,56.47
9,87.45
8,71.86
4,91.54
5,72.17
6,97.22
3,42.57
8,32.25
3,32.25
4,80.05
4,52.89
10,18.08
5,94.49
7,87.98
9,46.47
10,57.49
6,25.9
3,17.77
4,29.61
5,69.37
3,22.24
9,90.7
4,10.59
4,73.82
10,13.22
10,81.4
7,46.55
1,32.62
6,38.3
4,74.6
3,74.6
9,40.3
3,98.4
7,39.01
7,79.93
7,51.13
9,54.67
4,42.82
4,48.09
7,55.97
9,76.9
1,54.73
6,27
9,89.14
4,70.74
8,26.26
9,35.38
3,75.82
8,41.06
10,19.24
1,68.71
1,25.42
1,40.61
5,20.87
9,88.43
10,35.54
8,19.15
10,27.07
4,39.12
9,29.56
9,77.4
8,73.05
1,72.57
1,60.38
3,49.49
5,77.68
7,21.54
5,25.32
2,98.13
10,73.97
1,48.5
10,61.29
4,90.74
4,54.86
2,59.86
5,54.36
10,73.96
7,44.02
4,20.18
3,38.81
2,72.04
3,82.04
6,26.67
6,81.31
7,18.08
1,96.8
2,57.89
10,93.22
3,99.83
10,72.6
5,94.59
3,91.35
2,78.88
4,82.58
1,79.91
9,66.47
4,17.63
6,98.79
3,55.67
2,47.67
2,33.63
7,37.32
1,60.18
6,58.75
7,57.74
2,93.4
2,83.77
10,64.08
9,39.48
9,23.08
6,94.88
4,49.1
7,64.83
1,19.77
8,80.47
1,88.39
10,17.48
9,23.34
4,52.18
8,53.72
10,91.56
4,62.48
9,65.23
9,12.29
4,22.32
5,35.74
2,77.2
7,95.54
9,87.87
8,75.59
7,96.16
8,47.16
10,36.36
1,60.08
8,72.11
10,11.85
10,40.73
6,90.53
6,21.43
3,39.75
3,12.1
1,33.21
1,31.99
3,78.38
3,50.45
4,29.15
6,26.26
5,88.31
4,53.78
10,39.91
7,21.9
2,62.85
6,65.91
8,34.49
8,60.01
2,84.63
3,36.91
2,49.92
1,26.6
7,62
5,75.37
5,40.3
8,87.98
2,33.2
3,33.52
6,72.2
10,88.36
6,94.13
7,83.78
7,16.16
8,96.68
2,76.99
9,87.87
7,82.7
4,30.35
10,72.84
5,88.79
6,53.44
10,90.28
8,39.62
3,34.84
3,51.91
2,50.28
4,93.39
3,39.9
9,19.79
5,77.04
3,26.48
5,73.52
8,25.55
3,30.37
6,99.73
5,92.36
7,46.42
2,24.77
9,94.87
8,57.34
7,45.35
1,14.23
5,62.08
6,81.37
7,84.09
5,93.87
9,73.06
7,54.45
10,67.43
8,99.71
4,47.97
9,66.68
6,15.55
10,48.51
3,18.11
1,14.96
2,97.74
5,22.02
4,22.02
4,57.95
5,13.5
7,27.5
10,74.97
9,60.96
5,99.78
10,20.15
2,23.65
1,99.69
2,18.22
4,37.95
5,13.59
2,39.75
7,34.21
1,21.87
6,96.11
6,57.22
10,36.36
6,67.27
10,69.08
10,95.54
2,47.44
2,74.71
2,22.01
8,79.39
2,37.02
1,34.37
6,41.09
3,23.48
4,34.7
10,99.89
1,75.92
5,93.31
5,88.45
3,84.05
9,45.71
9,39.21
3,22.95
9,71.2
8,28.45
2,51.54
7,57.27
2,54.31
1,58.24
4,37.48
2,21.58
3,42.42
3,99.25
6,79.86
4,72.39
10,71.95
3,60.3
3,69.51
5,63.06
